weight,feature
0.13675424977757966,price_open_MEME
0.13506087775885603,price_close_VIB
0.13506087775885603,price_high_VIB
0.13506087775885603,price_low_VIB
-0.1349581504415997,price_open_POT
0.13482648071245829,price_open_DCT
0.1343922114677813,price_close_XMR
0.1343922114677813,price_high_XMR
0.1343922114677813,price_low_XMR
0.1309858780956907,price_close_OMG
0.1309858780956907,price_high_OMG
0.1309858780956907,price_low_OMG
-0.12847735796513496,price_open_POWR
0.1282305272761864,price_close_PAY
0.1282305272761864,price_high_PAY
0.1282305272761864,price_low_PAY
-0.12648098366739374,price_open_SYS
-0.12519165807446733,price_close_IOP
-0.12519165807446733,price_high_IOP
-0.12519165807446733,price_low_IOP
-0.1251126468002417,price_close_MYST
-0.1251126468002417,price_high_MYST
-0.1251126468002417,price_low_MYST
